source_sha,character_id,action_id,variant_id,sample_phase,tick_index,state_frame,hitbox_id,hitbox_active,center_x,center_y,radius,hitlag_remaining,contact_marker
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab,ground,pre_step,0,8,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab,ground,after_step,0,1,clean,1,13.000,21.000,7.500,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab,ground,after_step,1,2,clean,1,13.000,21.000,7.500,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab,ground,after_step,2,3,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab,ground,after_step,3,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab,ground,after_step,4,5,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab,ground,after_step,5,6,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab,ground,after_step,6,7,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab,ground,after_step,7,8,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab,ground,after_step,8,9,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab,ground,after_step,9,10,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab,ground,after_step,10,11,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab,ground,after_step,11,12,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab,ground,after_step,12,13,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab,ground,after_step,13,14,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab,ground,after_step,14,15,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab,ground,after_step,15,16,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab,ground,after_step,16,17,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab,ground,after_step,17,1,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,5,2,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,6,0,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,7,1,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,8,2,clean,1,14.000,22.000,7.500,4,1
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,9,2,clean,1,14.000,22.000,7.500,3,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,10,2,clean,1,14.000,22.000,7.500,2,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,11,2,clean,1,14.000,22.000,7.500,1,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,12,2,clean,1,14.000,22.000,7.500,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,13,3,clean,1,14.000,22.000,7.500,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,14,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,15,5,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,16,6,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,17,7,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,18,8,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,19,9,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,20,10,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,21,11,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,22,12,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,23,13,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,24,14,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,25,15,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,26,16,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,27,17,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,28,18,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,29,19,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,30,20,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,31,21,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,32,22,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,jab2,after_jab1_hit,after_step,33,1,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,pre_step,0,8,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,0,1,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,1,2,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,2,3,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,3,4,clean,1,18.000,19.000,8.500,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,4,5,clean,1,18.000,19.000,8.500,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,5,6,clean,1,18.000,19.000,8.500,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,6,7,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,7,8,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,8,9,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,9,10,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,10,11,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,11,12,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,12,13,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,13,14,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,14,15,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,15,16,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,16,17,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,17,18,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,18,19,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,19,20,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,20,21,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,21,22,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,22,23,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,23,24,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,24,25,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,ftilt,ground,after_step,25,1,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,pre_step,0,8,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,0,1,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,1,2,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,2,3,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,3,4,clean,1,4.000,33.000,9.500,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,4,5,clean,1,4.000,33.000,9.500,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,5,6,clean,1,4.000,33.000,9.500,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,6,7,clean,1,4.000,33.000,9.500,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,7,8,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,8,9,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,9,10,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,10,11,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,11,12,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,12,13,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,13,14,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,14,15,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,15,16,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,16,17,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,17,18,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,18,19,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,19,20,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,20,21,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,21,22,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,22,23,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,utilt,ground,after_step,23,1,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,pre_step,0,8,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,0,1,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,1,2,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,2,3,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,3,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,4,5,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,5,6,clean,1,16.000,11.000,8.000,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,6,7,clean,1,16.000,11.000,8.000,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,7,8,clean,1,16.000,11.000,8.000,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,8,9,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,9,10,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,10,11,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,11,12,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,12,13,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,13,14,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,14,15,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,15,16,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,16,17,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,17,18,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,18,19,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,19,20,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,20,21,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,21,22,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,22,23,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,23,24,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,24,25,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,25,26,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,26,27,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,dtilt,ground,after_step,27,1,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,pre_step,0,8,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,0,1,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,1,2,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,2,3,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,3,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,4,5,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,5,6,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,6,7,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,7,8,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,8,9,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,9,10,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,10,11,clean,1,22.000,19.000,10.500,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,11,12,clean,1,22.000,19.000,10.500,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,12,13,clean,1,22.000,19.000,10.500,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,13,14,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,14,15,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,15,16,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,16,17,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,17,18,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,18,19,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,19,20,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,20,21,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,21,22,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,22,23,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,23,24,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,24,25,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,25,26,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,26,27,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,27,28,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,28,29,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,29,30,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,30,31,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,31,32,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,32,33,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,33,34,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,34,35,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,35,36,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,36,37,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,37,38,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,38,39,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,39,40,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,cstick,after_step,40,1,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,pre_step,0,8,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,0,1,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,1,2,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,2,3,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,3,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,4,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,5,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,6,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,7,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,8,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,9,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,10,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,11,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,12,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,13,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,14,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,15,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,16,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,17,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,18,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,19,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,20,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,21,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,22,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,23,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,24,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,25,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,26,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,27,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,28,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,29,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,30,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,31,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,32,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,33,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,34,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,35,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,36,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,37,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,38,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,39,4,,0,,,,0,0
9cf312b0d76a11d9b79e6b4100f848d1878ed0b9,kestrel,fsmash,charged_max,after_step,40,4,,0,,,,0,0
